
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
2024-12-19T13:59:12.453+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: URL [jar:nested:/var/www/infiniteb2b/springboot/jar/infiniteb2b.jar/!BOOT-INF/classes/!/com/contenttree/category/CategoryRepository.class]
2024-12-19T13:59:12.453+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: URL [jar:nested:/var/www/infiniteb2b/springboot/jar/infiniteb2b.jar/!BOOT-INF/classes/!/com/contenttree/confirmationtoken/ConfirmationTokenRepository.class]
2024-12-19T13:59:12.455+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: URL [jar:nested:/var/www/infiniteb2b/springboot/jar/infiniteb2b.jar/!BOOT-INF/classes/!/com/contenttree/admin/AdminRepository.class]
2024-12-19T13:59:12.456+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: URL [jar:nested:/var/www/infiniteb2b/springboot/jar/infiniteb2b.jar/!BOOT-INF/classes/!/com/contenttree/CampaignManager/EventRepository.class]
2024-12-19T13:59:12.456+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: URL [jar:nested:/var/www/infiniteb2b/springboot/jar/infiniteb2b.jar/!BOOT-INF/classes/!/com/contenttree/CampaignManager/WebinarRepository.class]
2024-12-19T13:59:12.456+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: URL [jar:nested:/var/www/infiniteb2b/springboot/jar/infiniteb2b.jar/!BOOT-INF/classes/!/com/contenttree/CampaignManager/CampaignReposiotry.class]
2024-12-19T13:59:12.456+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: URL [jar:nested:/var/www/infiniteb2b/springboot/jar/infiniteb2b.jar/!BOOT-INF/classes/!/com/contenttree/user/UserRepository.class]
2024-12-19T13:59:12.456+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: URL [jar:nested:/var/www/infiniteb2b/springboot/jar/infiniteb2b.jar/!BOOT-INF/classes/!/com/contenttree/CountryCode/CountryRepository.class]
2024-12-19T13:59:12.456+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: URL [jar:nested:/var/www/infiniteb2b/springboot/jar/infiniteb2b.jar/!BOOT-INF/classes/!/com/contenttree/userdatastorage/UserDataStorageRepository.class]
2024-12-19T13:59:12.457+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: URL [jar:nested:/var/www/infiniteb2b/springboot/jar/infiniteb2b.jar/!BOOT-INF/classes/!/com/contenttree/downloadlog/DownloadLogRepository.class]
2024-12-19T13:59:12.457+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: URL [jar:nested:/var/www/infiniteb2b/springboot/jar/infiniteb2b.jar/!BOOT-INF/classes/!/com/contenttree/StaticCount/RegionRepository.class]
2024-12-19T13:59:12.457+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: URL [jar:nested:/var/www/infiniteb2b/springboot/jar/infiniteb2b.jar/!BOOT-INF/classes/!/com/contenttree/StaticCount/StaticCountRepository.class]
2024-12-19T13:59:12.457+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: URL [jar:nested:/var/www/infiniteb2b/springboot/jar/infiniteb2b.jar/!BOOT-INF/classes/!/com/contenttree/NewsLetter/NewsLetterRepository.class]
2024-12-19T13:59:12.457+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: URL [jar:nested:/var/www/infiniteb2b/springboot/jar/infiniteb2b.jar/!BOOT-INF/classes/!/com/contenttree/banner/BannerRepository.class]
2024-12-19T13:59:12.457+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: URL [jar:nested:/var/www/infiniteb2b/springboot/jar/infiniteb2b.jar/!BOOT-INF/classes/!/com/contenttree/vendor/VendorRepository.class]
2024-12-19T13:59:12.515+05:30  INFO 1968086 --- [contenttree] [           main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 71 ms. Found 18 JPA repository interfaces.
2024-12-19T13:59:12.598+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'springSecurityHandlerMappingIntrospectorBeanDefinitionRegistryPostProcessor'
2024-12-19T13:59:12.671+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'scheduledBeanLazyInitializationExcludeFilter'
2024-12-19T13:59:12.853+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'propertySourcesPlaceholderConfigurer'
2024-12-19T13:59:12.857+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'emBeanDefinitionRegistrarPostProcessor'
2024-12-19T13:59:12.858+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.sql.init.dependency.DatabaseInitializationDependencyConfigurer$DependsOnDatabaseInitializationPostProcessor'
2024-12-19T13:59:12.892+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerProcessor'
2024-12-19T13:59:12.893+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'conversionServicePostProcessor'
2024-12-19T13:59:12.904+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'preserveErrorControllerTargetClassPostProcessor'
2024-12-19T13:59:12.905+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerFactory'
2024-12-19T13:59:12.905+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.transaction.config.internalTransactionalEventListenerFactory'
2024-12-19T13:59:12.912+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
2024-12-19T13:59:12.913+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalCommonAnnotationProcessor'
2024-12-19T13:59:12.915+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalPersistenceAnnotationProcessor'
2024-12-19T13:59:12.915+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.context.properties.ConfigurationPropertiesBindingPostProcessor'
2024-12-19T13:59:12.916+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.context.internalConfigurationPropertiesBinder'
